Sample	Taxon	Rank	Abundance	Type	IDGroup	SampleName	Strain	Cage	MouseID	Treatment	Colonization	Community	Sex	DOB	Notch	Control	Source
SP_39	Fusobacterium 	Species	0.00982401934939146	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_36	Ruminococcus_B gnavus	Species	0.009760814397201235	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_40	Agathobacter 	Species	0.009749563489023885	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_39	Escherichia 	Species	0.00972815727279766	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_21	Escherichia 	Species	0.00969988264865472	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_41	Escherichia 	Species	0.009698793778421656	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_35	Agathobacter 	Species	0.009698293974283553	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_21	Agathobacter 	Species	0.009637914941576071	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_37	Thomasclavelia 	Species	0.009625046891004897	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_50	Escherichia 	Species	0.00961932831621217	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_17	Collinsella aerofaciens	Species	0.009605868312278045	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_39	Thomasclavelia 	Species	0.009558555137285554	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_55	Ruminococcus_B gnavus	Species	0.009439511147740864	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_37	Agathobacter 	Species	0.009409299676767912	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_35	Ruminococcus_B gnavus	Species	0.009375204265531184	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_3	Agathobacter 	Species	0.009321546463939182	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_42	Agathobacter 	Species	0.009267960785493037	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_7	Collinsella aerofaciens	Species	0.009195109931163856	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_18	Collinsella aerofaciens	Species	0.009150538796987061	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_4	Collinsella aerofaciens	Species	0.00914716851021324	RelativeAbundance	SP_4	Colon 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_10	Ruminococcus_B gnavus	Species	0.00905317656586692	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_39	Bariatricus 	Species	0.008976008671830928	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_41	Parabacteroides 	Species	0.008974430950695403	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_57	Collinsella aerofaciens	Species	0.008951314499124294	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_11	Thomasclavelia 	Species	0.008756561985524804	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_58_re	Veillonella parvula	Species	0.008736081415997212	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_10	Collinsella aerofaciens	Species	0.008684397009270105	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_16	Agathobacter 	Species	0.008671158588396706	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_56	Bariatricus 	Species	0.008670420549886409	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_13	Collinsella aerofaciens	Species	0.008665590236847579	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_49	Escherichia 	Species	0.008658214098335587	RelativeAbundance	SP_49	Mucus 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_12	Collinsella aerofaciens	Species	0.008623407262780032	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_56	Agathobacter 	Species	0.008605939732929453	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_15	Thomasclavelia 	Species	0.008591173868584625	RelativeAbundance	SP_15	Colon 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Colon
SP_32	Collinsella aerofaciens	Species	0.00857028306942366	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_25	Collinsella aerofaciens	Species	0.008550244354435807	RelativeAbundance	SP_25	Feces 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_31	Ruminococcus_B gnavus	Species	0.008531360569790432	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_24	Ruminococcus_B gnavus	Species	0.008507598186792788	RelativeAbundance	SP_24	Feces 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_18	Agathobacter 	Species	0.008505424009802861	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_48	Collinsella aerofaciens	Species	0.008440674416169233	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_20	Fusobacterium 	Species	0.008426869872653005	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_28	Parabacteroides 	Species	0.008397429477957359	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_33	Agathobacter 	Species	0.008393100632467702	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_50	Ruminococcus_B gnavus	Species	0.008374586278268998	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_13	Agathobacter 	Species	0.008291151152539351	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_28	Collinsella aerofaciens	Species	0.00820935441402405	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_18	Fusobacterium 	Species	0.008202688578945471	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_2	Parabacteroides 	Species	0.008132096855044351	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_58	Bariatricus 	Species	0.008118794778186689	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_40	Sarcina perfringens	Species	0.008117434709938701	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_20	Veillonella parvula	Species	0.008115081408254099	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_26	Ruminococcus_B gnavus	Species	0.008047130844043642	RelativeAbundance	SP_26	Feces 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_32	Sarcina 	Species	0.008036377060698563	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_58_re	Fusobacterium 	Species	0.008016994601359677	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_16	Fusobacterium 	Species	0.007979960450993792	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_13	Parabacteroides 	Species	0.00788105120305891	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_49	Collinsella aerofaciens	Species	0.007835631029309795	RelativeAbundance	SP_49	Mucus 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_29	Bariatricus 	Species	0.007823894343409432	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_58_re	Ruminococcus_B gnavus	Species	0.007800170714503322	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_19	Veillonella parvula	Species	0.007748459683900348	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_54	Bariatricus 	Species	0.007728884916841309	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_7	Lacrimispora saccharolytica	Species	0.007668950606489357	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_55	Parabacteroides 	Species	0.0076106058628660714	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_28	Ruminococcus_B gnavus	Species	0.007591393489671748	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_23	Collinsella aerofaciens	Species	0.00757968824020393	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_6	Collinsella aerofaciens	Species	0.007575640420941939	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_48_re	Collinsella aerofaciens	Species	0.007524206837381803	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_37	Fusobacterium 	Species	0.0075161664635532985	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_18	Ruminococcus_B gnavus	Species	0.007507117886618373	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_46	Ruminococcus_B gnavus	Species	0.007468599120149878	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_27	Ruminococcus_B gnavus	Species	0.007461597837648576	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_58	Veillonella parvula	Species	0.007453112590872992	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_30	Escherichia 	Species	0.007412759696873408	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_33	Sarcina 	Species	0.007372370174641204	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_57	Lacrimispora saccharolytica	Species	0.0073220937992486785	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_51	Collinsella aerofaciens	Species	0.007308970099667774	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_57	Ruminococcus_B gnavus	Species	0.0072813632817517885	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_48	Ruminococcus_B gnavus	Species	0.007273012880929941	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_56	Parabacteroides 	Species	0.007262339454012431	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_4	Ruminococcus_B gnavus	Species	0.007210240366698019	RelativeAbundance	SP_4	Colon 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_44	Parabacteroides 	Species	0.007152389583379731	RelativeAbundance	SP_44	Mucus 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_22	Collinsella aerofaciens	Species	0.00712915240209172	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_47	Ruminococcus_B gnavus	Species	0.007123711091255947	RelativeAbundance	SP_47	Mucus 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Mucus
SP_7	Ruminococcus_B gnavus	Species	0.007077563868177988	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_12	Sarcina 	Species	0.007062448518868788	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_30	Fusobacterium 	Species	0.007042774626859176	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_56	Escherichia 	Species	0.007037406371604447	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_11	Ruminococcus_B gnavus	Species	0.007017053396701146	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_31	Thomasclavelia 	Species	0.006932985918807159	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_24	Collinsella aerofaciens	Species	0.006913398453220689	RelativeAbundance	SP_24	Feces 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_46	Parabacteroides 	Species	0.006831199235120138	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_21	Parabacteroides 	Species	0.006810638306112727	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_34	Ruminococcus_B gnavus	Species	0.006809211409546142	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_42	Parabacteroides 	Species	0.0068020178630499506	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_27	Thomasclavelia 	Species	0.00677458971822057	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_55	Collinsella aerofaciens	Species	0.006745317340989826	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_28	Thomasclavelia 	Species	0.006719409102344588	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_46	Collinsella aerofaciens	Species	0.006604832920810511	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_36	Fusobacterium 	Species	0.006602659738923115	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_57	Veillonella parvula	Species	0.006601476951226772	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_16	Veillonella parvula	Species	0.006579374751519466	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_38	Ruminococcus_B gnavus	Species	0.006552457742867443	RelativeAbundance	SP_38	Feces 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Feces
SP_56	Fusobacterium 	Species	0.006511062958769766	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_17	Fusobacterium 	Species	0.006465363890991183	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_20	Thomasclavelia 	Species	0.006464604858179155	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_53	Ruminococcus_B gnavus	Species	0.006458460357247702	RelativeAbundance	SP_53	Mucus 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Mucus
SP_16	Ruminococcus_B gnavus	Species	0.0064494502896016255	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_48_re	Parabacteroides 	Species	0.006357557572098471	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_6	Ruminococcus_B gnavus	Species	0.006301757533113223	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_58_re	Collinsella aerofaciens	Species	0.006293381931159788	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_51_re	Sarcina 	Species	0.006274930302380442	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_6	Thomasclavelia 	Species	0.006257297280578988	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_5	Parabacteroides 	Species	0.006228629842433642	RelativeAbundance	SP_5	Colon 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_2	Lacrimispora saccharolytica	Species	0.006195104940827758	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_17	Ruminococcus_B gnavus	Species	0.00618074557062739	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_19	Ruminococcus_B gnavus	Species	0.006090945620144656	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_20	Bariatricus 	Species	0.006075584388837401	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_8	Lacrimispora saccharolytica	Species	0.00606582850685125	RelativeAbundance	SP_8	Colon 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Colon
SP_11	Fusobacterium 	Species	0.006054111142173765	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_46	Thomasclavelia 	Species	0.006034449378832962	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_56	Collinsella aerofaciens	Species	0.005992217315348684	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_39	Veillonella parvula	Species	0.00599137978711245	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_50	Parabacteroides 	Species	0.005966177354279337	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_30	Eggerthella lenta	Species	0.00595893600999395	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_58_re	Bariatricus 	Species	0.00595853997930567	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_29	Streptococcus parasanguinis	Species	0.0059317025049218245	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_55	Fusobacterium 	Species	0.0059193601155625	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_29	Fusobacterium 	Species	0.005910441922466907	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_2	Collinsella aerofaciens	Species	0.005851840550966589	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_36	Thomasclavelia 	Species	0.005826608594247677	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_37	Veillonella parvula	Species	0.005809625435624724	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_36	Parabacteroides 	Species	0.005749833481004384	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
